last_yearmonth,this_yearmonth,sn_gubun,pass_gubun,carge_gubun,area_gubun,arvl_type,nation_gubun,nation_code,area_code,area_name,area_listorder,nation_name,pass,cargo,nation_code_b,flight_cnt,year_month,year,month,category_name
,,,,,,,,03#142,03,아시아,3,캄보디아,1547,232,03#142,89,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#135,03,아시아,3,태국,11177,2404,03#135,780,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#128,03,아시아,3,필리핀,28418,2779,03#128,979,201804,2018,4,정기-환승여객-출발
,,,,,,,,03#109,03,아시아,3,홍콩,3532,2457,03#109,987,201804,2018,4,정기-환승여객-출발
,,,,,,,,04#219,04,미주,4,멕시코,205,64,04#219,32,201804,2018,4,정기-환승여객-출발
,,,,,,,,04#227,04,미주,4,미국,75171,4548,04#227,1190,201804,2018,4,정기-환승여객-출발
,,,,,,,,04#205,04,미주,4,브라질,0,0,04#205,8,201804,2018,4,정기-환승여객-출발
,,,,,,,,04#206,04,미주,4,캐나다,12931,963,04#206,115,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#316,05,유럽,5,네덜란드,1012,183,05#316,43,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#317,05,유럽,5,노르웨이,0,0,05#317,11,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#308,05,유럽,5,독일,2472,643,05#308,195,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#331,05,유럽,5,러시아,7839,653,05#331,369,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#313,05,유럽,5,룩셈부르크,0,0,05#313,12,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#321,05,유럽,5,스웨덴,0,0,05#321,9,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#322,05,유럽,5,스위스,138,38,05#322,13,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#320,05,유럽,5,스페인,522,126,05#320,49,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#342,05,유럽,5,아제르바이잔,0,0,05#342,17,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#305,05,유럽,5,영국,5206,473,05#305,90,201804,2018,4,정기-환승여객-출발
,,,,,,,,05#302,05,유럽,5,오스트리아,279,71,05#302,18,201804,2018,4,정기-환승여객-출발
